indicator,ISO Country code,Population (2018.0),Surface area (Km2) (2018.0),% of population in extreme poverty (latest year),% of population with access to electricity (2020.0),Happy planet index (2016.0),Happy planet index (2019),Human dev index (2017.0),Human dev index (2021),Unemployment (%) (2018.0),Unemployment (%) (2021.0),Economic Growth (2018.0),Economic Growth (2021 or latest)
Iceland,ISL,300000.0,100250.0,,100.0,31.1,48.0,0.935,0.959,3.8,5.40100002288818,4.89218073132504,3.69979240070974
India,IND,1339000000.0,2973193.0,1.8,99.0,29.2,36.4,0.64,0.633,3.5,5.97800016403198,6.45385134497769,8.94796266921514
Indonesia,IDN,264000000.0,1811569.0,0.5,96.9499969482422,35.7,49.6,0.694,0.705,5.6,4.41300010681152,5.17429153955024,3.69124011191289
Iran,IRN,81000000.0,1531595.0,0.2,100.0,24.0,43.6,0.798,0.774,11.3,11.4610004425049,-2.25386360686099,1.76
Iraq,IRQ,38000000.0,437367.0,,100.0,26.5,45.3,0.685,0.686,16.0,14.1920003890991,2.63385099105624,2.78333543533222
Ireland,IRL,4700000.0,68883.0,,100.0,30.0,51.1,0.938,0.945,8.1,6.63299989700317,9.03016110018034,13.4786580085837
Israel,ISR,9000000.0,20330.0,0.2,100.0,28.8,48.2,0.903,0.919,5.6,5.04500007629395,3.98342459356549,8.1880404589493
Italy,ITA,61000000.0,294140.0,1.0,100.0,28.1,50.7,0.88,0.895,11.5,9.83399963378906,0.925810941012742,6.64379018966193
Jamaica,JAM,2800000.0,10831.0,,100.0,36.9,57.9,0.732,0.709,13.3,9.18200016021729,1.88992368121086,4.60000000000001
Japan,JPN,127000000.0,364485.0,,100.0,28.3,47.1,0.909,0.925,3.1,2.79900002479553,0.584068067242868,1.62079552541303
Jordan,JOR,10000000.0,88802.0,,99.9000015258789,-,43.9,0.735,0.72,13.2,19.2520008087158,1.93409170141707,2.2097647710104
Kazakhstan,KAZ,18000000.0,2699700.0,0.0,100.0,19.1,38.6,0.8,0.811,5.2,4.90000009536743,4.09999999987123,4.00000000008325
Kenya,KEN,50000000.0,569140.0,,71.4379425048828,24.2,45.2,0.59,0.575,11.0,5.74200010299683,5.64794640709219,7.51735538703886
Korea (Dem. People’s Rep.),PRK,25000000.0,120408.0,,52.3135452270508,-,-,-,-,4.3,2.59200000762939,,-
Korea (Rep.),KOR,51000000.0,96920.0,,100.0,24.8,39.8,0.903,0.925,3.7,3.53200006484985,2.90740377377135,4.02115847345807
Kosovo,-,1900000.0,10887.0,,,-,-,-,-,-,,3.40663100837845,9.12757763607948
Kuwait,KWT,4200000.0,17818.0,,100.0,-,33.3,0.803,0.831,2.4,3.71399998664856,2.43398126829415,-
Kyrgyzstan,KGZ,6000000.0,191801.0,0.2,99.9810485839844,33.1,53.7,0.672,0.692,7.7,9.10400009155273,3.75791012480484,3.61061269547005
Laos,LAO,7000000.0,230800.0,1.2,100.0,-,42.8,0.601,0.607,1.5,1.25800001621246,6.24796000755872,2.52835100103448
Latvia,LVA,2000000.0,62249.0,0.2,100.0,17.1,34.1,0.847,0.863,9.9,7.59999990463257,3.9894803874928,4.48209539940108
Lebanon,LBN,4600000.0,10230.0,,100.0,21.9,39.0,0.757,0.706,6.8,14.4879999160767,-1.88470547404803,-10.5193894162206
Lesotho,LSO,1900000.0,30355.0,,47.3527374267578,16.7,27.3,0.52,0.514,27.4,24.5979995727539,-1.22313731083291,1.01587081905888
Liberia,LBR,4400000.0,96320.0,,27.5347099304199,22.2,46.0,0.435,0.481,4.0,4.09499979019165,1.15757512207355,4.0000099975916
Libya,LBY,6000000.0,1759540.0,,69.7073516845703,-,42.7,0.706,0.718,19.2,19.5839996337891,7.9413678529104,31.3724222267248
Lithuania,LTU,2900000.0,62680.0,0.4,100.0,21.0,36.9,0.858,0.875,9.2,7.90299987792969,3.99331032795327,5.00350076587901
Luxembourg,LUX,600000.0,2586.0,0.1,100.0,13.2,31.7,0.904,0.93,5.9,5.22700023651123,2.00437711983041,6.88656770842904
Macedonia,MKD,2100000.0,25433.0,1.2,100.0,23.4,43.9,-,-,26.7,16.2029991149902,2.88059670964267,3.96426417144993
Madagascar,MDG,26000000.0,581540.0,,33.7350769042969,-,44.2,0.519,0.501,2.1,2.59400010108948,3.20001288035283,4.40233999987778
Malawi,MWI,19000000.0,94080.0,29.3,14.8667688369751,22.1,38.7,0.477,0.512,6.7,7.02099990844727,4.39168829609886,2.75141640762955
Malaysia,MYS,32000000.0,328657.0,,100.0,30.3,41.7,0.802,0.803,3.3,4.60900020599365,4.84308697634881,3.13258966090125
Maldives,MDV,400000.0,298.0,,100.0,-,-,0.717,0.747,3.2,6.07800006866455,8.12312890817314,30.9628422550665
Mali,MLI,19000000.0,1220190.0,3.0,50.5614166259766,-,39.3,0.427,0.428,8.1,7.71999979019165,4.74648432724561,3.06987004655758
Malta,MLT,400000.0,316.0,0.1,100.0,29.0,43.5,0.878,0.918,5.3,3.49900007247925,6.03421380724669,9.4135383709695
Mauritania,MRT,3800000.0,1030700.0,,47.3484191894531,18.0,34.7,0.52,0.556,11.7,11.4630002975464,4.52674622501065,2.29974854129526
Mauritius,MUS,1300000.0,2030.0,,99.6616516113281,27.4,51.5,0.79,0.802,7.8,7.41400003433228,3.75967723144153,4.04021973384492
Mexico,MEX,129000000.0,1943945.0,1.0,99.4000015258789,40.7,54.3,0.774,0.758,4.0,4.37900018692017,2.19499472522698,4.79719174934905
Moldova,MDA,3600000.0,32891.0,,100.0,-,51.0,0.7,0.767,5.0,3.96199989318848,4.30147775702727,13.9445896006365
Mongolia,MNG,3000000.0,1553556.0,0.1,98.0999984741211,14.3,24.5,0.741,0.739,6.7,7.08199977874756,7.7448806201857,1.42100909686505
Montenegro,MNE,600000.0,13452.0,1.0,100.0,25.1,41.3,0.814,0.832,17.5,18.4869995117188,5.0778888113381,12.4343589851741
Morocco,MAR,36000000.0,446300.0,,100.0,32.7,50.9,0.667,0.683,10.0,11.4670000076294,3.148502655914,7.3727276184739
Mozambique,MOZ,30000000.0,786380.0,,30.603832244873,23.7,44.2,0.437,0.446,24.4,3.98200011253357,3.44381383971462,2.22481926808254
Myanmar,MMR,53000000.0,676575.0,,70.3971939086914,24.7,40.0,0.578,0.585,0.8,2.17300009727478,6.404977325147,-17.9847423373262
Namibia,NAM,2300000.0,823290.0,,56.2586936950684,21.6,36.8,0.647,0.615,25.6,21.67799949646,1.05994347072928,2.43063985834007
Nepal,NPL,29000000.0,143351.0,,89.9000015258789,30.5,53.1,0.574,0.602,3.2,5.05200004577637,7.62237610768169,4.24694014145481
Netherlands,NLD,17000000.0,33893.0,,100.0,35.3,54.9,0.931,0.941,6.2,4.01000022888184,2.36091509478513,5.03590202448922
New Zealand,NZL,4700000.0,264537.0,,100.0,31.3,57.4,0.917,0.937,5.2,4.12400007247925,3.35921954753083,4.64680674951514
Nicaragua,NIC,6000000.0,119990.0,,88.9073791503906,38.7,55.2,0.658,0.667,5.9,5.95699977874756,-3.3637057173864,10.3449290198086
Niger,NER,21000000.0,1266700.0,15.6,19.2519092559814,16.8,41.4,0.354,0.4,2.6,0.750999987125397,7.21080300824623,1.35205374879854
Nigeria,NGA,191000000.0,910768.0,9.0,55.4000015258789,22.2,34.1,0.532,0.535,5.0,9.78800010681152,1.92275734157302,3.64718654100696
Norway,NOR,5000000.0,304282.0,0.2,100.0,36.8,50.9,0.953,0.961,4.8,4.9850001335144,1.11882847945122,3.92266520973057
Oman,OMN,4000000.0,309500.0,,100.0,21.1,-,0.821,0.816,17.5,3.12199997901917,1.28710391543288,-3.2
Pakistan,PAK,197000000.0,770875.0,0.6,75.3796920776367,31.5,45.1,0.562,0.544,5.9,4.35200023651123,6.15170261099519,6.0297520826943
Panama,PAN,4000000.0,74340.0,0.4,96.7046356201172,39.5,57.9,0.789,0.805,5.8,12.0880002975464,3.68534452237613,15.335819064068
Papua New Guinea,PNG,8000000.0,452860.0,,60.4000015258789,-,-,0.544,0.558,2.5,2.75200009346008,-0.279252284959952,1.49999999999999
Paraguay,PRY,7000000.0,397302.0,0.2,100.0,23.3,47.6,0.702,0.717,5.4,7.20599985122681,3.20425034076639,4.19988166614141
